Data-hora da leitura,Plataforma,ID do post,Artista,Views,Likes,Comentários
2026-08-18 14:00,Instagram,DbZfv42RlzI,Mine,,15818,278
2026-08-18 14:00,Instagram,DbZa4QGDmLe,Argentino,,3493,87
2026-08-18 14:00,Instagram,DbZRc6qpY-d,Russin Oficial,18973,389,16
2026-08-18 14:00,Instagram,DbZB_YSBcN1,Evy Baddie,38552,1696,100
2026-08-18 14:00,YouTube,42K9zV2batc,Argentino,93246,4818,
2026-08-18 14:00,Instagram,DbY_oXfD26A,Kysha e Mine,,3988,124
2026-08-18 14:00,Instagram,DbY7SZQukE4,Argentino,70471,4371,201
2026-08-18 14:00,Instagram,DbY4a6ruf88,Kysha,234436,12247,917
2026-08-18 14:00,Instagram,DbYZp50uQ25,Mine,147580,4164,126
2026-08-18 14:00,Instagram,DbYZp50uQ25,Kysha,147580,4164,126
2026-08-18 14:00,Instagram,DbYYvOolQBN,Evy Baddie,,5507,526
2026-08-18 14:00,Instagram,DbYYXf8xDVK,Fidelisx,,6345,148
2026-08-18 14:00,YouTube,K8vJM0cW-uA,Argentino,60200,2767,
2026-08-18 14:00,Instagram,DbWkvvnum4z,Argentino,60011,2134,103
2026-08-18 14:00,Instagram,DbV0ldrBQl2,Evy Baddie,40237,3562,141
2026-08-18 14:00,Instagram,DbT9snkFlCm,Argentino,,8533,303
2026-08-18 14:00,Instagram,DbT9snkFlCm,Kysha,,8533,303
2026-08-18 14:00,YouTube,QdNRbesC88s,Argentino,180396,6506,
2026-08-18 14:00,Instagram,DbT1i5jPsM_,Argentino,39473,1649,75
2026-08-18 14:00,Instagram,DbTQE-RROxt,Fidelisx,33902,2265,136
2026-08-18 14:00,YouTube,KxZt5_0wtHo,Argentino,59763,2626,
2026-08-18 14:00,Instagram,DbRTKZ5O6Pk,Kysha,72701,4257,190
2026-08-18 14:00,YouTube,-VrjwceNZhw,Argentino,95729,5388,
2026-08-18 14:00,Instagram,DbRGIwEsNkU,Argentino,41784,2745,124
2026-08-18 14:00,Instagram,DbQm6xrxyCn,Evy Baddie,50921,2141,81
2026-08-18 14:00,Instagram,DbOryoIpuxW,Evy Baddie,51704,2090,96
2026-08-18 14:00,YouTube,QFIc2Nb6qnM,Argentino,145807,5802,
2026-08-18 14:00,Instagram,DbOXRh4jmoH,Argentino,,2465,251
2026-08-18 14:00,Instagram,DbOA5cRx_RL,Mine,,6192,380
2026-08-18 14:00,Instagram,DbMJ9tfBCK9,Evy Baddie,24804,1221,114
2026-08-18 14:00,YouTube,V0RcMxLGsi4,Argentino,58069,2843,
2026-08-18 14:00,Instagram,DbL3X6ylkTN,Argentino,,3409,442
2026-08-18 14:00,Instagram,DbLiXJou2Fh,Kysha,526547,31230,1142
2026-08-18 14:00,Instagram,DbJoH71uXai,Kysha,76881,4102,506
2026-08-18 14:00,Instagram,DbI7nO5uehX,Mine,97617,2515,124
2026-08-18 14:00,Instagram,DbI7nO5uehX,Kysha,97617,2515,124
2026-08-18 14:00,Instagram,DbHLexwxcsb,Mine,93683,5631,226
2026-08-18 14:00,Instagram,DbHFmc2prJn,Evy Baddie,38789,2088,86
2026-08-18 14:00,Instagram,DbB3cOxkd5z,Evy Baddie,,3946,211
2026-08-18 14:00,Instagram,DbB3cOxkd5z,Fidelisx,,3946,211
2026-08-18 14:00,Instagram,DbB1H5Eu6ES,Kysha,271960,14828,1029
2026-08-18 14:00,Instagram,DbBrNUUR-4P,Mine,143849,9177,368
2026-08-18 14:00,Instagram,DbBLX_PJ6ld,Evy Baddie,88076,3654,206
2026-08-18 14:00,YouTube,x4b2F_N_lV4,Argentino,109821,8548,
2026-08-18 14:00,Instagram,Da-_M4POpf-,Mine,214983,15012,324
2026-08-18 14:00,Instagram,Da-_M4POpf-,Kysha,214983,15012,324
2026-08-18 14:00,Instagram,Da81zW9O30C,Kysha,297720,14903,606
2026-08-18 14:00,Instagram,Da8YRqtkYde,Fidelisx,,9980,266
2026-08-18 14:00,Instagram,Da8YRqtkYde,Mine,,9981,266
2026-08-18 14:00,YouTube,Y_IEUK5tVwo,Argentino,131438,6528,
2026-08-18 14:00,Instagram,Da0-1zzkX_F,Fidelisx,,4105,105
2026-08-18 14:00,Instagram,Da0-iRXpVkp,Mine,148930,4996,195
2026-08-18 14:00,Instagram,Da0aEMjxH0n,Fidelisx,115789,4172,119
2026-08-18 14:00,Instagram,DayxWxDRFq0,Fidelisx,68866,4077,89
2026-08-18 14:00,Instagram,DasnHm3OQpn,Mine,226032,3388,101
2026-08-18 14:00,Instagram,DaquKK3ONt3,Mine,144462,4686,106
2026-08-18 14:00,YouTube,CsW3GiQo52Q,Argentino,85848,4233,
2026-08-18 14:00,Instagram,DaqnoNfOoJa,Mine,144852,6327,180
