Data do snapshot,Artista,Plataforma,Handle,Seguidores/Inscritos,Total de posts,Likes totais,Origem
2026-08-27,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,carry
2026-08-27,Mine,Instagram,aminequerida,1422790,1156,,carry
2026-08-27,Fidelisx,Instagram,oifidelisx,666157,254,,carry
2026-08-27,Russin Oficial,Instagram,russinmolejo,570797,1266,,carry
2026-08-27,Argentino,Instagram,oiargentino,339521,83,,carry
2026-08-27,Kaka,Instagram,reservaoikaka,8398,19,,carry
2026-08-27,Evy Baddie,Instagram,evybaddiee,277664,723,,carry
2026-08-27,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-27,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-28,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-28,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-28,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-28,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-28,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-28,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-28,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-28,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-28,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-28,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-28,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-28,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-28,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-08-28,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-08-28,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-08-28,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-08-28,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,carry
2026-08-28,Mine,Instagram,aminequerida,1422790,1156,,carry
2026-08-28,Fidelisx,Instagram,oifidelisx,666157,254,,carry
2026-08-28,Russin Oficial,Instagram,russinmolejo,570797,1266,,carry
2026-08-28,Argentino,Instagram,oiargentino,339521,83,,carry
2026-08-28,Kaka,Instagram,reservaoikaka,8398,19,,carry
2026-08-28,Evy Baddie,Instagram,evybaddiee,277664,723,,carry
2026-08-28,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-28,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-29,Kysha e Mine,Instagram,kyshaeminee,739000,1048,,seed
2026-08-29,Kysha,Instagram,oikysha,1000000,1792,,seed
2026-08-29,Casa Saturno,Instagram,acasasaturno,276000,1775,,seed
2026-08-29,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-29,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-29,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-29,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-29,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-29,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-29,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-29,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-29,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-29,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-08-29,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-08-29,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-08-29,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-08-29,Casa Saturno,TikTok,acasasaturno,266600,1217,3900000,carry
2026-08-29,Mine,Instagram,aminequerida,1419882,1161,,medido
2026-08-29,Fidelisx,Instagram,oifidelisx,665292,263,,medido
2026-08-29,Russin Oficial,Instagram,russinmolejo,568571,1274,,medido
2026-08-29,Argentino,Instagram,oiargentino,340089,100,,medido
2026-08-29,Kaka,Instagram,reservaoikaka,9886,32,,medido
2026-08-29,Evy Baddie,Instagram,evybaddiee,278261,734,,medido
2026-08-29,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-29,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-08-31,Kysha e Mine,Instagram,kyshaeminee,740448,1059,,medido
2026-08-31,Kysha,Instagram,oikysha,1359231,1801,,medido
2026-08-31,Casa Saturno,Instagram,acasasaturno,276243,1837,,medido
2026-08-31,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-08-31,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-08-31,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-08-31,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-08-31,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-08-31,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-08-31,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-08-31,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-08-31,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-08-31,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-08-31,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-08-31,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-08-31,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-08-31,Casa Saturno,TikTok,acasasaturno,267900,1257,4000000,medido
2026-08-31,Mine,Instagram,aminequerida,1419138,1162,,medido
2026-08-31,Fidelisx,Instagram,oifidelisx,665354,257,,medido
2026-08-31,Russin Oficial,Instagram,russinmolejo,567879,1276,,medido
2026-08-31,Argentino,Instagram,oiargentino,340248,103,,medido
2026-08-31,Kaka,Instagram,reservaoikaka,10351,36,,medido
2026-08-31,Evy Baddie,Instagram,evybaddiee,278449,738,,medido
2026-08-31,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-08-31,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-09-01,Kysha e Mine,Instagram,kyshaeminee,740425,1060,,medido
2026-09-01,Kysha,Instagram,oikysha,1358941,1802,,medido
2026-09-01,Casa Saturno,Instagram,acasasaturno,276220,1842,,medido
2026-09-01,Fidelisx,YouTube,oifidelisx,11400,,,seed
2026-09-01,Russin Oficial,YouTube,Orussindomolejo,71700,,,seed
2026-09-01,Argentino,YouTube,Oiargentinoo,391000,,,seed
2026-09-01,Kaka,YouTube,Oiikaka__,187000,,,seed
2026-09-01,Casa Saturno,YouTube,acasasaturno,709000,,,seed
2026-09-01,Kysha e Mine,TikTok,kyshaeminee,263200,468,1700000,carry
2026-09-01,Kysha,TikTok,oikysha,6500000,1512,131700000,carry
2026-09-01,Mine,TikTok,aminequerida_,2500000,1050,39300000,carry
2026-09-01,Evy Baddie,TikTok,evybaddiee,579300,1208,10400000,carry
2026-09-01,Fidelisx,TikTok,oifidelisx,526200,1389,15700000,carry
2026-09-01,Russin Oficial,TikTok,orussindomolejo,948100,1315,35900000,carry
2026-09-01,Argentino,TikTok,oiargentino_,341500,1047,6500000,carry
2026-09-01,Kaka,TikTok,oiikaka__,151000,603,1700000,carry
2026-09-01,Casa Saturno,TikTok,acasasaturno,267900,1257,4000000,carry
2026-09-01,Mine,Instagram,aminequerida,1418595,1162,,medido
2026-09-01,Fidelisx,Instagram,oifidelisx,665162,257,,medido
2026-09-01,Russin Oficial,Instagram,russinmolejo,567546,1278,,medido
2026-09-01,Argentino,Instagram,oiargentino,340157,103,,medido
2026-09-01,Kaka,Instagram,reservaoikaka,10536,38,,medido
2026-09-01,Evy Baddie,Instagram,evybaddiee,278483,740,,medido
2026-09-01,Kysha e Mine,YouTube,KyshaeMine,3683608,,,seed
2026-09-01,Evy Baddie,YouTube,evybaddie,259000,,,seed
2026-09-02,Kysha e Mine,Instagram,kyshaeminee,741871,1062,,medido
2026-09-02,Kysha,Instagram,oikysha,1359053,1803,,medido
2026-09-02,Casa Saturno,Instagram,acasasaturno,276211,1851,,medido
2026-09-02,Fidelisx,YouTube,oifidelisx,11400,,,seed
